"Sample ID"	Current_Natural_Log_Ratio	exposure_type	host_age
A15_85_15	-0.49520920772814137	Air	17
A15_86_01	1.3056002591610856	Air	10
A15_86_15	-0.9120678013174697	Air	17
A15_85_10	-0.7386013618192067	Air	14.5
A15_86_10	-0.12711880261763397	Air	14.5
A15_87_20	-0.1336262353502562	Air	19.5
A15_85_01	-0.288410127880514	Air	10
A15_87_01	-1.3129960046091362	Air	10
A15_87_10	-0.9589719306288487	Air	14.5
A15_85_20	-0.12279269553502203	Air	19.5
A16_89_20	-0.033708694420106156	Air	19.5
A15_85_05	-0.43433774763092714	Air	12
A16_89_15	-0.6011925150191146	Air	17
A15_88_05	-1.2771203729475644	Air	12
A15_86_20	0.028986986059965858	Air	19.5
A15_88_01	1.197970089694394	Air	10
A16_90_20	0.7036012295219578	Air	19.5
A15_88_15	-0.6683208603145658	Air	17
A15_87_05	-0.23537274427540567	Air	12
A15_88_20	-1.2489639760224378	Air	19.5
A15_88_10	-1.2038168518875416	Air	14.5
A16_90_15	-1.5274523256264274	Air	17
A15_86_05	-1.083607123318636	Air	12
A16_91_10	-1.0870865017420108	Air	14.5
A16_91_15	-0.3040605463014927	Air	17
A16_90_05	0.13878754099376067	Air	12
A16_90_01	0.8217566359352624	Air	10
A16_89_01	0.6287260214301149	Air	10
A16_91_20	0.4730319962513754	Air	19.5
A16_92_15	-0.36540298758838574	Air	17
A16_89_05	0.029698623400960855	Air	12
A16_91_01	0.5069432487467793	Air	10
A16_92_20	0.37520981077928894	Air	19.5
A16_89_10	-0.5273700813281117	Air	14.5
A16_92_10	-1.2628942884754153	Air	14.5
A17_93_15	-1.1112772695329305	Air	17
A16_92_05	-0.33409127395268357	Air	12
A16_91_05	-0.01757829809260869	Air	12
A17_93_01	0.4777506704160146	Air	10
A16_90_10	-1.2643974077618338	Air	14.5
A17_94_20	0.3821720035212053	Air	19.5
A17_93_20	-0.34199278986980275	Air	19.5
A17_94_15	-0.9023964767278692	Air	17
A17_93_10	-0.009279302690746505	Air	14.5
A17_95_10	-0.5630565505267242	Air	14.5
A17_94_01	-0.6258806192475035	Air	10
A17_94_10	-1.6867088595777346	Air	14.5
A17_95_20	1.2561391145760155	Air	19.5
A17_95_15	0.8254948254534433	Air	17
A17_96_01	-0.4611635733512287	Air	10
A17_96_15	-0.4657252862214989	Air	17
A17_96_10	-2.447501741597481	Air	14.5
A17_96_05	0.31556670438597934	Air	12
A18_100_20	3.10764748175135	IHC	19.5
A18_100_15	3.3485455169190637	IHC	17
A16_92_01	1.2981082750998283	Air	10
A17_93_05	0.6195341739544808	Air	12
A18_100_10	3.192794875878665	IHC	14.5
A18_97_10	3.051364932727193	IHC	14.5
A17_95_05	0.9562746538482578	Air	12
A18_100_01	-0.42704492873755484	IHC	10
A18_100_05	3.8261774142972342	IHC	12
A18_98_10	3.7596476688711036	IHC	14.5
A17_94_05	0.11294661235251269	Air	12
A18_97_15	2.9976040251327696	IHC	17
A18_97_20	2.958823068534258	IHC	19.5
A18_99_20	2.781489244698694	IHC	19.5
A18_97_05	4.270606146667202	IHC	12
A18_98_15	3.3859345205015785	IHC	17
A19_102_20	4.457045386188046	IHC	19.5
A18_99_10	2.9247957902652217	IHC	14.5
A18_98_05	4.112202201977105	IHC	12
A18_98_20	3.7290547757929566	IHC	19.5
A17_96_20	0.36438191065415637	Air	19.5
A18_97_01	0.3106828138074391	IHC	10
A19_103_15_Animal_Died	4.152857679625576	IHC	17
A19_102_10	3.456918762373661	IHC	14.5
A18_99_15	3.3582113899442376	IHC	17
A18_99_05	2.935185258226859	IHC	12
A19_103_20_Animal_Died	4.781227830185204	IHC	19.5
A19_102_15	4.0698033936441504	IHC	17
A17_95_01	0.302341866156155	Air	10
A19_101_20	2.8635825324303035	IHC	19.5
A19_101_05	3.5445810595844165	IHC	12
A19_104_10	3.321355057081771	IHC	14.5
A18_98_01	-0.2949562475969536	IHC	10
A18_99_01	-0.66898047624559	IHC	10
A19_101_15	3.7971301636525467	IHC	17
A19_101_10	3.2620724128505394	IHC	14.5
A19_104_05	4.111859172386801	IHC	12
A20_105_15	3.7093042280197146	IHC	17
A19_102_01	0.503416862923153	IHC	10
A19_103_10	2.8528397399625085	IHC	14.5
A19_104_15	3.857136527340529	IHC	17
A19_104_20	3.6854473222133777	IHC	19.5
A20_105_20	3.7466828906250775	IHC	19.5
A19_103_05	3.404674390478526	IHC	12
A19_103_01	-0.12190664952353458	IHC	10
A20_105_10	2.8460502717118388	IHC	14.5
A20_107_15	3.6262910320297514	IHC	17
A19_101_01	-0.5736921757795628	IHC	10
A19_104_01	1.1664806608152283	IHC	10
